iter	RMSE
0	0.234224493
1	0.2276667969
2	0.2233131571
3	0.2189262816
4	0.2148370429
5	0.2105086031
6	0.2070770523
7	0.2032515068
8	0.1994849548
9	0.1962071141
10	0.1927966167
11	0.1891149668
12	0.1865179142
13	0.1837894199
14	0.1810856777
15	0.1791840537
16	0.1768662217
17	0.1747425221
18	0.1720304628
19	0.169883958
20	0.1682507899
21	0.166293848
22	0.1648341673
23	0.1626837596
24	0.1606075226
25	0.1583453893
26	0.1568078557
27	0.1556938462
28	0.1548577238
29	0.1533223188
30	0.1514521753
31	0.1501866589
32	0.1493280565
33	0.1481547582
34	0.1467829198
35	0.1457692887
36	0.1443669475
37	0.143457424
38	0.142306273
39	0.1413637067
40	0.1406702572
41	0.1397048862
42	0.1389124412
43	0.1382760056
44	0.1371618597
45	0.1361093422
46	0.1355609693
47	0.1348341989
48	0.133957836
49	0.1335336408
50	0.1326443343
51	0.1319565206
52	0.1312779622
53	0.1308437844
54	0.1303889028
55	0.1300109208
56	0.129243384
57	0.1283932669
58	0.1277338132
59	0.1267188113
60	0.1257772508
61	0.1254963691
62	0.1249283826
63	0.1241063003
64	0.1237421549
65	0.1234563419
66	0.1228011732
67	0.1219639311
68	0.1212051548
69	0.1203956097
70	0.1201951866
71	0.119583686
72	0.1194135253
73	0.1190231326
74	0.1180871313
75	0.1176879661
76	0.1170123521
77	0.1165578742
78	0.1162599442
79	0.1161155109
80	0.1155327988
81	0.1152386952
82	0.1147306093
83	0.1145967996
84	0.1139289903
85	0.1137899362
86	0.1132130271
87	0.1123610375
88	0.1122385794
89	0.1120081836
90	0.1118824074
91	0.1117607815
92	0.1116431627
93	0.1114989366
94	0.1109835529
95	0.1108739359
96	0.1106718651
97	0.1104381501
98	0.109601231
99	0.1094994952
100	0.1093862873
101	0.1092802412
102	0.1091793424
103	0.1090757003
104	0.1086772857
105	0.1082220158
106	0.1080156538
107	0.107155398
108	0.1066094312
109	0.1058735069
110	0.1054998995
111	0.1049083122
112	0.1043372075
113	0.1037975568
114	0.1036278029
115	0.1035441392
116	0.1034632238
117	0.1027118735
118	0.1025128024
119	0.1024362196
120	0.1023112251
121	0.1020118595
122	0.1018732145
123	0.101569412
124	0.1014277254
125	0.1010563024
126	0.1008019158
127	0.1006404225
128	0.1005193249
129	0.1004542962
130	0.1003888652
131	0.1002916455
132	0.100219528
133	0.1001251986
134	0.1000344229
135	0.09996756978
136	0.09975175125
137	0.09968297238
138	0.09957373228
139	0.09903135183
140	0.09859591359
141	0.098390444
142	0.09829203164
143	0.09779436834
144	0.09747673061
145	0.0968521257
146	0.09666877301
147	0.09637577498
148	0.0963045603
149	0.09625819145
150	0.09611306531
151	0.09601713119
152	0.09554872604
153	0.09545611558
154	0.09487309931
155	0.09441146682
156	0.09431109845
157	0.09422343961
158	0.09361254609
159	0.09322002371
160	0.09307719491
161	0.09303075113
162	0.09280336065
163	0.09223869922
164	0.09211629572
165	0.09195656273
166	0.091862775
167	0.09142698422
168	0.09125267507
169	0.09107630716
170	0.09101889154
171	0.09053184747
172	0.09040512695
173	0.09033063489
174	0.08980092793
175	0.08926207393
176	0.08908573581
177	0.08901352045
178	0.08886748628
179	0.08849811553
180	0.08809555153
181	0.08756550363
182	0.08707473846
183	0.08627988559
184	0.08614996839
185	0.08578867542
186	0.08576236029
187	0.08567512666
188	0.08535303479
189	0.08477728354
190	0.08461534662
191	0.08456331624
192	0.08398126937
193	0.08384726462
194	0.0834440466
195	0.08339376678
196	0.08295053082
197	0.08286863571
198	0.08254568452
199	0.08215885854
200	0.08213269855
201	0.08178601166
202	0.08166182602
203	0.08120869348
204	0.08048999248
205	0.08007651343
206	0.08004641748
207	0.07997041802
208	0.07957606814
209	0.07911289419
210	0.07895970752
211	0.07866770931
212	0.07818056056
213	0.07753403831
214	0.0770116948
215	0.07676244106
216	0.07648012007
217	0.07615366312
218	0.07598708075
219	0.07565986455
220	0.07546922912
221	0.07506997552
222	0.07494544471
223	0.07484848365
224	0.07475385861
225	0.07438747755
226	0.07412492462
227	0.07403408017
228	0.07392295092
229	0.07357136055
230	0.0735083865
231	0.07304493427
232	0.07292029845
233	0.07284023923
234	0.07278737549
235	0.07255422808
236	0.07208587948
237	0.07195228181
238	0.07179487168
239	0.07152625268
240	0.07137808466
241	0.07099176736
242	0.07083725181
243	0.07064272289
244	0.07040152078
245	0.0700702742
246	0.07004541457
247	0.06999387228
248	0.06982013278
249	0.06945020556
250	0.06925743357
251	0.06886477927
252	0.06881602871
253	0.06873075609
254	0.06847412671
255	0.06840279328
256	0.06835442439
257	0.06832223543
258	0.06821815445
259	0.06814197604
260	0.06801073962
261	0.06787681919
262	0.06777879119
263	0.06751103256
264	0.06748736726
265	0.06715536362
266	0.06712755024
267	0.0669094839
268	0.06682885554
269	0.06678923974
270	0.06674251431
271	0.06642128045
272	0.06635807182
273	0.06620487381
274	0.06608907317
275	0.06606873976
276	0.06594237576
277	0.06592328055
278	0.06587402045
279	0.06567668969
280	0.06551794705
281	0.06549402619
282	0.06526955253
283	0.06503442315
284	0.06491557756
285	0.06485174402
286	0.06481473401
287	0.06474045116
288	0.06472460738
289	0.06461430804
290	0.0645793654
